task,tier,held_out_city,seed,model,params,val_rmse,zero_shot,n,rmse,mae,bias,r2,median_ae
N,deployable,Dushanbe,1,lgbm_tuned,"(0.03, 31, 20, 0.9)",26.80584228803269,False,343,47.653955123859504,28.57735936601661,-25.870438095613647,-0.3822601379770192,14.391943494937529
N,deployable,Dushanbe,2,lgbm_tuned,"(0.03, 31, 20, 0.9)",26.80584228803269,False,343,47.49910811576981,28.630021544485782,-26.219350849079305,-0.3732916862821083,14.393196097959592
N,deployable,Dushanbe,3,lgbm_tuned,"(0.03, 31, 20, 0.9)",26.80584228803269,False,343,47.20657726324799,28.19877828194087,-25.42318568272496,-0.3564285011050814,13.923214973442402
N,deployable,Dushanbe,4,lgbm_tuned,"(0.03, 31, 20, 0.9)",26.80584228803269,False,343,46.00165054218925,27.284531951148647,-24.11965225237577,-0.2880677592309653,12.843371482714058
N,deployable,Dushanbe,0,cams_debiased_pooled,,,False,343,47.95555989277336,29.4882470017659,-27.643886194130275,-0.39981232348674056,16.60831688765886
N,deployable,Khujand,0,lgbm_tuned,"(0.03, 31, 20, 0.7)",33.981014107960476,True,592,35.206592175103566,20.32345020738007,-10.827176688220328,0.2818952509002699,9.229252755576459
N,deployable,Khujand,1,lgbm_tuned,"(0.03, 31, 20, 0.7)",33.981014107960476,True,592,36.07242783283361,20.6075218542403,-12.377089596948128,0.24614023238081262,8.844256322391711
N,deployable,Khujand,2,lgbm_tuned,"(0.03, 31, 20, 0.7)",33.981014107960476,True,592,34.95383288329066,20.337305663111696,-9.980437572966258,0.29216924143271683,9.654796360763498
N,deployable,Khujand,3,lgbm_tuned,"(0.03, 31, 20, 0.7)",33.981014107960476,True,592,35.27325036012596,20.235345497031958,-11.304613181228794,0.2791734382427281,8.92533579168739
N,deployable,Khujand,4,lgbm_tuned,"(0.03, 31, 20, 0.7)",33.981014107960476,True,592,34.531877678354256,20.22488360388541,-9.573562382580036,0.309155654122776,9.898663882222284
N,deployable,Khujand,0,cams_debiased_pooled,,,True,592,39.901334913920735,25.301479407311643,-9.719510731085155,0.07760982012146289,15.112980795315
N,deployable,Tashkent,0,lgbm_tuned,"(0.03, 63, 40, 0.7)",35.589581519260896,False,337,28.044955662946144,16.575066474576698,-11.477538856495167,0.1791584122208295,7.939617177980484
N,deployable,Tashkent,1,lgbm_tuned,"(0.03, 63, 40, 0.7)",35.589581519260896,False,337,28.410984229877606,16.937522097429117,-11.394035924475592,0.15759217093687627,8.166961288208617
N,deployable,Tashkent,2,lgbm_tuned,"(0.03, 63, 40, 0.7)",35.589581519260896,False,337,28.791960433517946,16.974359943745483,-12.02776661791344,0.13484821151585702,7.821176108628157
N,deployable,Tashkent,3,lgbm_tuned,"(0.03, 63, 40, 0.7)",35.589581519260896,False,337,28.162652287273584,16.754794520415295,-11.68632398233287,0.17225428244003782,7.801035425057325
N,deployable,Tashkent,4,lgbm_tuned,"(0.03, 63, 40, 0.7)",35.589581519260896,False,337,28.480099222550457,16.768075305719957,-11.980581686215881,0.153488558784464,7.906016579449915
N,deployable,Tashkent,0,cams_debiased_pooled,,,False,337,28.62907610305213,20.147136294571673,-2.914665245697751,0.1446093431876413,14.362674625081027
N,retrospective,Almaty,0,lgbm_tuned,"(0.03, 31, 40, 0.9)",35.84436754355016,False,345,14.710656556469166,9.315616858780356,4.4818690218862836,0.5539951500525289,4.3183085794630465
N,retrospective,Almaty,1,lgbm_tuned,"(0.03, 31, 40, 0.9)",35.84436754355016,False,345,13.78080522645806,8.703358983127917,3.0735415244047815,0.6085965423495698,4.557072984523639
N,retrospective,Almaty,2,lgbm_tuned,"(0.03, 31, 40, 0.9)",35.84436754355016,False,345,15.913208722254607,9.644001233183086,5.140149328432016,0.4780955654381396,4.245562748459115
N,retrospective,Almaty,3,lgbm_tuned,"(0.03, 31, 40, 0.9)",35.84436754355016,False,345,17.18819871574317,10.464774221319951,6.248469813330559,0.3911137024985396,4.6092580815472255
N,retrospective,Almaty,4,lgbm_tuned,"(0.03, 31, 40, 0.9)",35.84436754355016,False,345,16.04259569156382,10.07302465116775,5.743538299481568,0.46957407102862714,4.512736168306984
N,retrospective,Almaty,0,cams_debiased_pooled,,,False,345,23.245090143162837,20.76182214996498,11.106098665359692,-0.1136223490306787,21.078534963078695
N,retrospective,Ashgabat,0,lgbm_tuned,"(0.03, 63, 20, 0.9)",33.81024145209864,False,263,20.953312371155597,13.63320191075299,2.1483824192632683,-0.27254082926980727,8.89439562659858
N,retrospective,Ashgabat,1,lgbm_tuned,"(0.03, 63, 20, 0.9)",33.81024145209864,False,263,21.079387093403135,13.908420658644966,1.7754347040875913,-0.2879004910686309,9.05047892719668
N,retrospective,Ashgabat,2,lgbm_tuned,"(0.03, 63, 20, 0.9)",33.81024145209864,False,263,20.771889488391015,13.641661854770442,2.6170875081541674,-0.2505998068891433,9.542218276317392
N,retrospective,Ashgabat,3,lgbm_tuned,"(0.03, 63, 20, 0.9)",33.81024145209864,False,263,20.609023137588213,13.474002593295035,1.9092895741577258,-0.23106551014976673,8.802964866552806
N,retrospective,Ashgabat,4,lgbm_tuned,"(0.03, 63, 20, 0.9)",33.81024145209864,False,263,20.652113203120585,13.649238306127813,2.1792200116234413,-0.23621880141373786,9.372519709095563
N,retrospective,Ashgabat,0,cams_debiased_pooled,,,False,263,18.831754385843258,14.085155472733872,6.6013212015566465,-0.02789301061577998,12.558229567079227
N,retrospective,Bishkek,0,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.154492959137094,False,334,20.25411829351805,17.610979579775474,14.313407685739717,-0.5558643515815458,14.887498466290218
N,retrospective,Bishkek,1,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.154492959137094,False,334,20.43851534398739,17.741080968582164,14.721274378567664,-0.5843230356479638,15.579194999704697
N,retrospective,Bishkek,2,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.154492959137094,False,334,19.68634503848311,16.998206910248577,13.649375758873008,-0.4698574948699914,14.752256791780544
N,retrospective,Bishkek,3,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.154492959137094,False,334,20.750542435382926,18.097958252322062,15.082543762342826,-0.633066815774564,15.57530384985192
N,retrospective,Bishkek,4,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.154492959137094,False,334,20.21732758347501,17.280321241866,14.217842239126762,-0.5502171676160452,13.994440356480775
N,retrospective,Bishkek,0,cams_debiased_pooled,,,False,334,20.028893882570493,17.377185751903486,11.952747134598663,-0.5214545282131502,17.28766869950227
N,retrospective,Dushanbe,0,lgbm_tuned,"(0.03, 31, 20, 0.9)",22.262820070183373,False,343,46.33941213355316,27.813745845569088,-24.075763449892666,-0.30705216514712586,13.478378075056003
